,cities_tags,purchase_places,stores,countries,countries_tags,countries_fr,code,product_name,generic_name,manufacturing_places,manufacturing_places_tags,main_category_fr,created_datetime,last_modified_datetime
10106,quiberon-morbihan-france,quiberon-morbihan-france,carrefour,france,france,france,3660088101593,filets de maquereaux à la tomate,filets de maquereaux à la tomate,france,france,poissons,2014-05-22t21:00:55z,2015-12-07t15:15:28z
10107,quiberon-morbihan-france,collioure,la belle iloise,france,france,france,3660088101821,velouté de coquillages ,"velouté, soupe de coquillages",bretagne - quiberon,bretagne-quiberon,soupes,2016-02-12t12:13:21z,2017-02-20t11:27:07z
10108,quiberon-morbihan-france,"france,guérande",la belle-iloise,france,france,france,3660088101883,emietté de thon à la marie-galante,emietté de thon à la marie-galante,"france,morbihan,bretagne","france,morbihan,bretagne",conserves,2013-10-04t12:00:34z,2017-02-10t13:32:39z
10109,quiberon-morbihan-france,quiberon-morbihan-france,carrefour,france,france,france,3660088116733,"sardines aux 2 piments, à l'huile d'olive vierge extra et sa note de citron","sardines aux 2 piments, à l'huile d'olive vierge extra et sa note de citron",france,france,sardines en conserve,2015-05-17t18:57:32z,2017-03-28t17:20:02z
10110,quiberon-morbihan-france,quiberon-morbihan-france,carrefour,france,france,france,3660088136809,nos toasts chauds moules au curry,toasts chauds moules au curry,"france,bretagne","france,bretagne",conserves,2015-10-19t09:57:22z,2017-01-13t13:20:01z
10111,quiberon-morbihan-france,france,carrefour,france,france,france,3660088138070,sardines à la tapenade,sardines à la tapenade,france,france,sardines en conserve,2015-04-01t11:12:09z,2016-09-17t13:39:32z
10112,quiberon-morbihan-france,quiberon-morbihan-france,carrefour,france,france,france,3660088138711,mousse de homard au cognac,mousse de homard au cognac,france,france,produits à tartiner salés,2015-03-21t16:22:54z,2015-12-07t15:12:46z
10113,manosque-alpes-de-haute-provence-france,"flers-en-escrebieux,france",carrefour,france,france,france,3660140003759,la pizza royale,"pizza royale (emmental, jambon, champignons frais), cuite au feu de bois, surgelée",france,france,surgelés,2015-04-03t21:41:43z,2015-04-05t09:44:43z
10114,pithiviers-loiret-france,"boulogne-sur-mer,france",auchan,france,france,france,3660140824156,savane chocolat noir,gâteaux marbrés au chocolat noir,"pithiviers,loiret,centre,france","pithiviers,loiret,centre,france",gâteaux,2013-02-02t16:40:03z,2015-05-03t14:35:32z
10115,pithiviers-loiret-france,france,carrefour,france,france,france,3660140825054,savane chocolat,gâteaux marbrés au chocolat,"pithiviers,loiret,centre,france","pithiviers,loiret,centre,france",gâteaux,2013-12-15t12:28:19z,2015-05-03t14:35:10z
10116,pithiviers-loiret-france,"angers,france",carrefour,france,france,france,3660140899550,little jac',petits gâteaux avec un fourrage au chocolat,france,france,gâteaux,2015-01-18t11:02:46z,2015-04-07t08:28:24z
10117,seclin-nord-france,seclin-nord-france,carrefour,france,france,france,3660603000073,classic mix,classic mix,france,france,epicerie,2016-05-20t16:49:18z,2016-10-28t17:00:53z
10118,seclin-nord-france,seclin-nord-france,carrefour,france,france,france,3660603000158,sauce au poivre de madagascar,sauce au poivre,france,france,epicerie,2013-02-11t19:42:07z,2016-09-19t07:30:23z
10119,seclin-nord-france,brest,carrefour,"france, en:belgium","belgium,en:france","belgique,france",3660603000226,mayonnaise aux oeufs frais,mayonnaise aux oeufs frais,france,france,epicerie,2012-11-18t21:05:35z,2016-11-25t14:49:05z
10120,seclin-nord-france,"villers bocage 80260,france","carrefour market,cora",france,france,france,3660603002879,sauce royal kebab au cocktail d'épices,sauce,"h.j. heinz france - 18 rue marx dormoy - 59113 seclin,nord,nord-pas-de-calais,france","h-j-heinz-france-18-rue-marx-dormoy-59113-seclin,nord,nord-pas-de-calais,france",epicerie,2015-02-10t18:39:55z,2017-02-02t19:23:43z
